timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_current:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
29.339298,55,41,36,100,4,559,228
29.441680,55,40,36,100,4,558,228
29.551706,55,41,36,91,4,519,228
29.654316,55,40,36,97,4,543,228
29.756693,55,40,36,99,4,553,228
29.859696,55,41,36,100,4,557,228
29.962355,55,41,36,100,4,559,228
30.064719,55,41,36,100,4,559,228
30.167340,56,41,36,100,4,559,228
30.269724,56,41,36,100,4,560,228
30.372349,56,41,36,100,4,560,228
30.484602,56,41,36,100,4,560,0
30.587349,56,41,36,96,4,540,228
30.689730,56,41,36,98,4,553,228
30.792366,56,41,36,99,4,558,228
30.894745,56,41,36,100,4,559,228
30.997383,56,41,36,100,4,560,228
31.099756,56,41,36,100,4,560,228
31.202374,56,41,36,100,4,560,228
31.304755,56,41,36,100,4,560,228
31.407394,56,41,36,100,4,561,228
31.509790,56,41,36,96,4,542,228
31.612403,56,41,36,99,4,554,228
31.714778,56,41,36,100,4,558,222
31.817417,56,41,36,100,4,559,228
31.919783,56,41,36,100,4,560,228
32.022433,56,41,36,100,4,560,228
32.124808,56,41,36,100,4,560,228
32.227433,56,41,36,100,4,561,228
32.329814,56,41,36,100,4,561,228
32.432464,56,41,36,95,4,535,228
32.534823,56,41,36,98,4,551,228
32.637456,56,41,36,99,4,557,228
32.739840,56,41,36,100,4,560,228
32.842469,56,41,36,100,4,560,228
32.944838,56,41,36,100,4,561,228
33.047483,56,41,36,100,4,561,228
33.149858,56,41,37,100,4,561,225
33.252484,56,41,36,100,4,561,228
33.354863,56,41,36,94,4,531,228
33.457501,56,41,36,98,4,551,228
33.559865,56,41,36,99,4,558,228
33.662500,56,41,37,100,4,560,228
33.764884,56,41,36,100,4,560,228
33.867514,56,41,36,100,5,561,228
33.969903,56,41,37,100,5,561,225
34.072530,56,41,36,100,5,561,228
34.174902,56,41,37,100,5,561,228
34.277549,56,40,36,90,4,517,228
34.379911,56,41,36,97,4,545,228
34.482903,56,41,36,99,4,556,228
34.585548,56,41,36,100,4,560,228
34.687558,56,41,37,100,5,561,228
34.789941,56,41,37,100,5,561,228
34.892560,56,41,36,100,5,561,228
34.994939,56,41,37,100,5,561,228
35.097574,56,41,36,100,5,561,228
35.199975,56,41,37,93,4,526,228
35.302581,56,41,37,97,4,549,228
35.404956,56,41,37,99,4,557,228
35.507264,56,41,37,100,5,561,228
35.609599,56,41,37,100,5,562,228
35.711977,56,41,37,100,5,562,228
35.814610,56,41,37,100,5,562,228
35.916984,56,41,37,100,5,561,228
36.019621,56,41,37,100,5,561,228
36.122073,56,41,37,89,4,510,228
36.224620,56,41,37,96,4,544,228
36.326996,56,41,37,99,4,556,228
36.429639,56,41,37,100,5,560,228
36.532003,56,41,37,100,5,561,228
36.634645,56,41,37,100,5,561,228
36.737016,56,41,37,100,5,562,228
36.839659,56,41,37,100,5,562,219
36.942033,56,41,37,100,5,562,228
37.044687,56,41,37,91,4,517,228
37.147043,56,41,37,97,4,546,228
37.249676,56,41,37,99,4,557,228
37.352051,56,41,37,100,5,561,228
37.454694,56,41,37,100,5,562,228
37.556687,56,41,37,100,5,562,228
37.659064,56,41,37,100,5,562,228
37.761695,56,41,37,100,5,562,228
37.863698,56,41,37,100,5,562,228
37.975054,56,41,38,99,4,553,228
38.077714,56,41,37,96,4,540,228
38.180095,56,41,37,98,4,554,228
38.282746,56,41,37,99,5,559,228
38.385092,56,41,37,100,5,560,228
38.487738,56,41,37,100,5,561,228
38.590111,56,41,37,100,5,561,228
38.692750,56,41,37,100,5,562,225
38.795120,56,41,37,100,5,562,228
38.904961,56,41,37,99,5,557,0
39.007775,56,42,37,96,4,551,228
39.110137,56,41,37,99,5,565,225
39.212774,56,41,37,100,5,570,228
39.315149,56,41,37,100,5,572,228
39.417784,56,42,37,100,5,572,228
39.520163,56,41,37,100,5,573,228
39.622835,56,41,37,100,5,573,228
39.725854,56,42,37,100,5,572,228
39.828237,56,42,38,100,5,570,0
39.930833,56,41,37,95,4,544,228
40.033220,56,41,37,98,5,556,228
40.135823,56,41,37,99,5,560,228
40.238189,56,41,37,100,5,561,228
40.341202,56,41,37,100,5,562,228
40.443832,56,41,37,100,5,562,225
40.546196,56,41,37,100,5,562,228
40.648837,56,42,37,100,5,562,222
40.751212,56,41,38,100,4,532,33
40.853859,56,40,37,96,2,362,0
40.956212,55,40,37,40,1,214,0
41.058845,55,39,37,14,0,157,0
41.160854,54,39,37,5,0,137,0
41.263210,53,39,37,2,0,129,0
41.365863,53,38,37,1,0,126,0
41.468218,52,38,37,0,0,125,0
41.570878,52,38,37,0,0,125,0
41.673236,51,38,37,0,0,125,0
41.775564,51,38,37,0,0,125,0
41.877885,50,37,37,0,0,125,0
41.979900,50,37,37,0,0,125,0
42.082259,50,37,37,0,0,125,0
42.184896,49,37,37,0,0,124,0
42.286908,49,37,37,0,0,124,0
42.389268,49,37,37,0,0,124,0
42.491909,48,37,37,0,0,124,0
42.593926,48,37,37,0,0,124,0
42.696280,48,37,37,0,0,124,0
42.798941,48,37,37,0,0,124,0
42.901284,48,36,37,0,0,124,0
43.003946,47,37,37,0,0,124,0
43.105950,47,36,37,0,0,124,0
43.208311,47,36,37,0,0,124,0
43.310961,47,36,37,0,0,124,0
43.413315,47,36,37,0,0,124,0
43.515962,47,36,37,0,0,124,0
43.618325,47,36,37,0,0,124,0
43.720969,47,36,37,0,0,124,0
43.823334,46,36,37,0,0,124,0
43.925683,46,36,37,0,0,124,0
44.027991,46,36,37,0,0,124,0
44.130002,46,36,37,0,0,124,0
44.232356,46,36,37,0,0,124,0
44.334999,46,36,37,0,0,124,0
44.437019,46,36,37,0,0,124,0
44.539372,46,36,37,0,0,124,0
44.642014,46,36,36,0,0,124,0
44.744027,46,36,37,0,0,124,0
44.846383,46,36,37,0,0,124,0
44.949028,46,36,37,0,0,124,0
45.051043,46,36,36,0,0,124,0
45.153052,46,36,37,0,0,124,0
45.255406,46,36,37,0,0,124,0
45.358049,46,36,36,0,0,124,0
45.460414,46,36,37,0,0,124,0
45.563067,46,36,37,0,0,124,0
45.665418,46,36,37,0,0,124,0
45.768071,46,36,37,0,0,124,0
45.870451,45,35,36,1,0,127,228
45.973095,46,37,36,65,3,392,228
46.075463,46,37,36,87,4,488,228
46.178109,46,38,36,96,4,524,228
46.280472,47,38,36,98,4,539,228
46.383123,47,38,36,99,4,545,228
46.485478,48,39,36,100,4,549,228
46.588123,49,39,36,100,4,550,228
46.700145,49,39,36,89,4,501,228
46.802493,50,39,36,96,4,532,228
46.905147,50,39,36,98,4,546,228
47.007505,50,40,36,99,4,551,228
47.110148,51,39,36,100,4,553,228
47.212511,51,40,36,100,4,555,228
47.315157,52,40,36,100,4,555,228
47.417524,52,40,37,100,4,556,228
47.520179,52,40,36,100,4,556,228
47.628156,53,40,37,100,4,554,0
47.730532,53,40,36,97,4,543,228
47.833190,53,40,36,99,4,552,228
47.935550,53,40,36,100,4,556,228
48.038194,54,40,36,100,4,557,222
48.140554,54,40,37,100,4,558,228
48.243198,54,40,36,100,4,558,228
48.345214,54,41,36,100,4,558,228
48.447563,54,41,36,100,4,559,228
48.550215,55,41,36,100,4,559,228
48.652651,55,40,36,95,4,534,228
48.756118,55,41,36,98,4,550,228
48.858236,55,41,37,99,4,556,228
48.960604,55,41,36,100,4,558,228
49.064087,55,41,36,100,4,559,228
49.166237,55,41,36,100,4,560,228
49.268616,55,41,37,100,4,560,228
49.371249,55,41,37,100,4,559,228
49.473617,55,41,37,100,4,560,228
49.576278,55,41,36,95,4,538,228
49.678627,55,41,36,98,4,553,228
49.781265,55,41,37,99,4,558,228
49.883285,56,41,37,100,4,559,228
49.985664,56,41,37,100,4,560,228
50.088285,56,41,37,100,4,560,228
50.190662,56,41,37,100,4,560,228
50.293664,56,41,37,100,4,560,228
50.396297,56,41,37,100,4,560,228
50.498740,56,41,37,94,4,531,222
50.601317,56,41,37,98,4,551,228
50.703691,56,41,37,99,4,558,228
50.806323,56,41,37,100,4,560,228
50.908693,56,41,37,100,4,560,228
51.011700,56,41,37,100,4,561,228
51.114334,56,41,37,100,4,561,228
51.216710,56,41,37,100,4,561,228
51.319351,56,41,37,100,4,561,225
51.421750,56,41,37,95,4,536,228
51.524353,56,41,37,98,4,553,228
51.626729,56,41,37,99,4,559,228
51.729378,56,41,37,100,4,561,228
51.831739,56,41,37,100,4,562,228
51.934378,56,41,37,100,4,561,222
52.036745,56,41,37,100,4,561,228
52.139390,56,41,37,100,4,561,228
52.241753,56,41,37,100,4,561,228
52.344405,56,41,37,92,4,525,225
52.447780,56,41,37,97,4,549,228
52.550398,56,41,37,99,4,557,228
52.652787,56,41,37,100,4,560,228
52.755408,56,41,37,100,4,561,228
52.857789,56,41,37,100,4,561,228
52.960417,56,41,37,100,4,562,228
53.062416,56,41,37,100,4,561,228
53.164803,56,41,37,100,4,562,228
53.267455,56,41,37,94,4,534,228
53.369806,56,41,37,98,4,552,228
53.472450,56,41,37,99,4,558,228
53.574820,56,41,37,100,4,560,228
53.677457,56,41,37,100,5,561,228
53.779840,56,41,37,100,5,561,225
53.882482,56,41,37,100,5,562,228
53.984854,56,41,37,100,5,562,228
54.087476,56,41,37,100,5,561,228
54.189910,56,41,37,90,4,515,228
54.292491,56,41,37,97,4,545,228
54.394854,56,41,37,99,4,556,228
54.497494,56,41,37,100,4,559,228
54.599870,56,41,37,100,5,561,228
54.702499,56,42,37,100,5,561,228
54.804874,56,41,37,100,5,561,228
54.907522,56,41,37,100,5,562,228
55.009898,56,41,37,100,5,562,228
55.112541,56,41,37,93,4,527,228
55.214896,56,41,37,97,4,549,228
55.317512,56,41,37,99,5,558,228
55.419534,56,41,37,100,5,560,228
55.521916,56,41,37,100,5,562,228
55.624913,56,41,37,100,5,562,228
55.727556,56,41,37,100,5,562,228
55.829932,56,41,37,100,5,562,228
55.932573,56,41,37,100,5,562,228
56.043581,56,41,38,91,4,521,228
56.145959,56,41,37,96,4,545,228
56.248577,56,41,37,99,5,555,228
56.350956,56,41,37,100,5,559,219
56.453583,56,42,37,100,5,561,228
56.555956,56,41,37,100,5,561,228
56.658965,56,41,37,100,5,561,228
56.761609,56,42,37,100,5,561,228
56.863974,56,41,37,100,5,562,228
56.966613,56,41,37,100,5,562,228
57.069010,56,41,37,97,4,545,228
57.171620,56,42,37,99,5,556,228
57.273991,56,41,37,100,5,560,228
57.376630,56,41,37,100,5,561,228
57.478620,56,41,37,100,5,562,228
57.580657,56,42,37,100,5,562,228
57.683034,56,41,37,100,5,562,228
57.785669,56,42,37,100,5,562,228
57.888038,56,41,37,100,5,562,228
57.990685,56,41,37,95,4,539,228
58.093038,56,41,37,98,5,554,228
58.195679,56,41,37,99,5,560,228
58.298036,56,42,37,100,5,562,228
58.400684,56,42,37,100,5,561,228
58.503053,56,42,37,100,5,561,228
58.605703,56,42,37,100,5,561,225
58.708070,56,42,37,100,5,561,228
58.810716,56,42,37,100,5,561,228
58.913103,56,41,37,94,4,534,228
59.015719,56,41,37,98,5,551,228
59.118083,56,41,37,99,5,558,228
59.220721,56,42,37,100,5,560,228
59.323089,56,42,37,100,5,561,228
59.425737,56,42,37,100,5,561,228
59.528094,56,42,38,100,5,561,222
59.630744,56,42,38,100,5,561,228
59.733113,56,41,38,100,5,561,228
59.835773,56,41,37,92,4,524,228
59.938130,56,42,38,97,4,549,228
60.040759,56,41,37,99,5,557,219
60.142778,56,42,38,100,5,560,228
60.245139,56,42,38,100,5,562,228
60.347776,56,42,38,100,5,562,228
60.450152,56,41,38,100,5,562,228
60.552791,56,42,37,100,5,562,228
60.655158,56,42,38,100,5,562,228
60.757824,56,41,38,93,4,528,228
60.860808,56,42,37,97,4,549,228
60.963177,56,42,38,99,5,557,228
61.065807,56,41,38,100,5,560,228
61.168172,56,42,38,100,4,535,63
61.271172,56,41,38,100,2,366,0
61.373813,55,40,38,39,1,214,0
61.476183,55,40,38,14,0,157,0
61.578824,54,39,38,5,0,137,0
61.681195,53,39,38,2,0,129,0
61.783837,53,39,38,1,0,127,0
61.886202,52,38,38,0,0,126,0
61.988836,52,38,38,0,0,125,0
62.090845,51,38,38,0,0,125,0
62.192862,51,38,38,0,0,125,0
62.295215,51,38,38,0,0,125,0
62.397863,50,38,38,0,0,125,0
62.500228,50,37,38,0,0,125,0
62.602865,49,37,38,0,0,125,0
62.705235,49,37,37,0,0,125,0
62.807878,49,37,38,0,0,125,0
62.909895,49,37,37,0,0,125,0
63.012258,48,37,37,0,0,124,0
63.114898,48,37,37,0,0,125,0
63.216909,48,37,37,0,0,124,0
63.319264,48,37,37,0,0,124,0
63.421910,48,37,37,0,0,124,0
63.524274,47,37,37,0,0,124,0
63.626919,47,37,37,0,0,124,0
63.729286,47,37,37,0,0,124,0
63.832290,47,36,37,0,0,124,0
63.934930,47,36,37,0,0,124,0
64.037300,47,36,37,0,0,124,0
64.139947,47,36,37,0,0,124,0
64.242306,47,36,37,0,0,124,0
64.344957,47,36,37,0,0,124,0
64.447320,47,36,37,0,0,124,0
64.549978,46,36,37,0,0,124,0
64.652327,46,36,37,0,0,124,0
64.754965,46,36,37,0,0,124,0
64.856983,46,36,37,0,0,124,0
64.959345,46,36,37,0,0,124,0
65.061998,46,36,37,0,0,124,0
65.164350,46,36,37,0,0,124,0
65.266999,46,36,37,0,0,124,0
65.369012,46,36,37,0,0,124,0
65.471363,46,36,37,0,0,124,0
65.574008,46,36,37,0,0,124,0
65.676022,46,36,37,0,0,124,0
65.778386,46,36,37,0,0,124,0
65.881021,46,36,37,0,0,124,0
65.983389,46,36,37,0,0,124,0
66.086040,46,36,37,0,0,124,0
66.188406,46,36,37,0,0,124,0
66.391785,46,36,37,0,0,137,0
