t_sec,"amd_smi:::power_current:device=1"
42.453613,508
42.454605,508
42.455613,508
42.456605,508
42.457613,508
42.458608,508
42.459625,508
42.460605,508
42.461613,508
42.462605,508
42.463612,508
42.464606,508
42.465613,508
42.466606,508
42.467613,508
42.468606,508
42.469624,508
42.470619,508
42.471614,508
42.472605,508
42.473613,508
42.474606,508
42.475622,508
42.476607,508
42.477616,508
42.478606,508
42.479616,508
42.480616,508
42.481614,508
42.482605,508
42.483614,508
42.484607,508
42.485614,508
42.486607,508
42.487613,508
42.488606,508
42.489615,508
42.490611,508
42.491620,508
42.492606,508
42.493615,508
42.494607,508
42.495615,508
42.496608,508
42.497612,508
42.498606,508
42.499615,508
42.500609,508
42.501625,508
42.502607,508
42.503615,508
42.504608,508
42.505612,508
42.506606,508
42.507612,508
42.508612,508
42.509612,508
42.510607,508
42.511626,508
42.512619,508
42.513616,508
42.514608,508
42.515615,508
42.516609,508
42.517614,508
42.518608,508
42.519612,508
42.520608,508
42.521616,508
42.522614,508
42.523613,508
42.524609,508
42.525616,508
42.526609,508
42.527614,508
42.528608,508
42.529613,508
42.530609,508
42.531614,508
42.532611,508
42.533628,508
42.534608,508
42.535617,508
42.536610,508
42.537616,508
42.538609,508
42.539614,508
42.540609,508
42.541614,508
42.542610,508
42.543622,508
42.544633,508
42.545617,508
42.546610,508
42.547617,508
42.548610,508
42.549618,508
42.550610,508
42.551615,508
42.552610,508
42.553623,508
42.554619,508
42.555615,508
42.556611,508
42.557613,508
42.558610,508
42.559615,507
42.560609,507
42.561614,507
42.562611,507
42.563617,507
42.564615,507
42.565629,507
42.566610,507
42.567615,507
42.568610,507
42.569615,507
42.570611,507
42.571614,507
42.572610,507
42.573615,508
42.574613,508
42.575624,508
42.576611,508
42.577632,508
42.578615,508
42.579634,508
42.580611,508
42.581619,508
42.582611,508
42.583615,508
42.584611,508
42.585615,508
42.586635,508
42.587617,508
42.588611,508
42.589616,508
42.590612,508
42.591617,508
42.592612,508
42.593617,508
42.594611,508
42.595621,508
42.596635,508
42.597617,508
42.598612,508
42.599617,508
42.600622,508
42.601617,508
42.602613,508
42.603617,508
42.604612,508
42.605620,508
42.606632,508
42.607624,508
42.608612,508
42.609618,508
42.610613,508
42.611617,508
42.612611,508
42.613615,508
42.614613,508
42.615617,508
42.616613,508
42.617626,508
42.618989,508
42.619618,508
42.620613,508
42.621618,508
42.622613,508
42.623618,508
42.624613,508
42.625618,508
42.626614,508
42.627617,508
42.628636,508
42.629618,508
42.630613,508
42.631618,508
42.632614,508
42.633618,508
42.634614,508
42.635618,508
42.636614,508
42.637622,508
42.638634,508
42.639618,508
42.640615,508
42.641619,508
42.642614,508
42.643617,508
42.644614,508
42.645618,508
42.646614,508
42.647615,508
42.648627,508
42.649624,508
42.650614,508
42.651618,508
42.652615,508
42.653618,508
42.654614,508
42.655619,508
42.656614,508
42.657619,508
42.658614,508
42.659620,508
42.660635,508
42.661620,508
42.662615,508
42.663617,508
42.664625,508
42.665620,508
42.666615,508
42.667618,508
42.668625,508
42.669619,508
42.670637,508
42.671619,508
42.672616,508
42.673618,508
42.674616,508
42.675620,508
42.676616,508
42.677621,508
42.678616,508
42.679620,508
42.680623,508
42.681994,508
42.682621,508
42.683639,508
42.684616,508
42.685620,508
42.686625,508
42.687619,508
42.688617,508
42.689618,508
42.690628,508
42.691625,508
42.692627,508
42.693620,508
42.694617,508
42.695621,508
42.696626,508
