timestamp,iteration,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
404.910665,Iter10,60000,43000,100,0
405.411089,Iter10,64000,44000,100,0
405.911813,Iter10,66000,44000,100,0
406.412576,Iter10,68000,44000,100,0
406.912830,Iter10,69000,44000,100,0
407.413581,Iter10,69000,44000,100,0
407.913791,Iter10,70000,44000,100,0
408.418686,Iter10,70000,45000,100,0
408.918914,Iter10,70000,44000,100,0
409.419680,Iter10,70000,45000,100,0
409.919891,Iter10,70000,45000,100,0
410.420732,Iter10,70000,45000,100,0
410.920951,Iter10,70000,45000,100,0
411.421791,Iter10,71000,45000,100,0
411.922210,Iter10,71000,45000,100,0
412.422830,Iter10,71000,45000,100,0
412.923044,Iter10,71000,46000,100,0
413.423892,Iter10,71000,46000,100,0
413.924110,Iter10,71000,46000,100,0
414.424561,Iter10,71000,46000,100,0
414.924952,Iter10,71000,46000,100,0
415.425188,Iter10,71000,46000,100,0
415.925612,Iter10,71000,46000,100,0
416.426171,Iter10,72000,46000,100,0
416.927061,Iter10,72000,46000,100,0
417.428288,Iter10,72000,46000,100,0
417.928708,Iter10,72000,46000,100,0
418.429139,Iter10,72000,46000,100,0
418.929353,Iter10,72000,46000,100,0
419.429780,Iter10,72000,46000,100,0
419.930190,Iter10,72000,46000,100,0
420.430397,Iter10,72000,46000,100,0
420.931241,Iter10,72000,46000,100,0
421.431454,Iter10,72000,46000,100,0
421.931903,Iter10,72000,46000,100,0
422.432309,Iter10,72000,46000,100,0
422.932563,Iter10,72000,46000,100,0
423.432976,Iter10,72000,46000,100,0
423.933405,Iter10,72000,46000,100,0
424.433622,Iter10,72000,46000,100,0
424.934059,Iter10,72000,46000,100,0
425.434489,Iter10,72000,47000,100,0
425.934698,Iter10,72000,46000,100,0
426.435123,Iter10,72000,46000,100,0
426.935563,Iter10,72000,46000,100,0
427.435771,Iter10,72000,46000,100,0
427.936799,Iter10,72000,46000,100,0
428.437221,Iter10,72000,46000,100,0
428.937627,Iter10,72000,46000,100,0
429.437837,Iter10,72000,46000,100,0
429.938713,Iter10,72000,46000,100,0
430.438924,Iter10,72000,46000,100,0
430.939342,Iter10,72000,46000,100,0
431.439762,Iter10,72000,46000,100,0
431.939988,Iter10,72000,46000,100,0
432.440407,Iter10,72000,46000,100,0
432.940827,Iter10,72000,46000,100,0
433.441082,Iter10,72000,46000,100,0
433.941500,Iter10,72000,46000,100,0
434.441889,Iter10,72000,46000,100,0
434.942117,Iter10,72000,46000,100,0
435.442553,Iter10,72000,46000,100,0
435.942967,Iter10,72000,46000,100,0
436.443189,Iter10,72000,47000,100,0
436.943626,Iter10,72000,47000,100,0
437.444039,Iter10,72000,47000,100,0
437.944264,Iter10,72000,47000,100,0
438.444713,Iter10,72000,47000,100,0
438.945110,Iter10,72000,47000,100,0
439.445336,Iter10,72000,47000,100,0
439.945772,Iter10,72000,46000,100,0
440.446210,Iter10,72000,47000,100,0
440.946434,Iter10,72000,46000,100,0
441.446846,Iter10,72000,47000,100,0
441.947262,Iter10,72000,46000,100,0
442.447894,Iter10,73000,47000,100,0
442.948308,Iter10-Wait,75000,47000,42,0
